Age,Gender,Education Level,Job Title,Years of Experience,Salary
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0
34.0,Male,Master's,Junior Business Analyst,18.0,217300.0
30.0,Male,Master's,Senior Marketing Coordinator,18.0,200600.0
51.0,Female,Master's,Director of Human Resources,21.0,190000.0
36.0,Female,Master's,Senior Product Manager,18.0,222700.0
49.0,Male,PhD,Data Entry Clerk,24.0,301900.0
34.0,Male,Master's,Senior Engineer,18.0,213300.0
56.0,Male,PhD,Senior Data Scientist,23.0,328300.0
28.0,Male,Bachelor's,Sales Associate,18.0,189400.0
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
19.0,Female,Bachelor's,Senior Business Development Manager,18.0,148000.0
18.0,Male,Bachelor's,Senior Project Coordinator,18.0,145900.0
39.0,Female,Master's,Senior Business Analyst,18.0,233000.0
18.0,Female,Bachelor's,Senior Financial Manager,22.0,161900.0
60.0,Male,PhD,Sales Associate,27.0,358000.0
50.0,Female,PhD,Supply Chain Manager,24.0,301500.0
31.0,Male,Master's,Director of Product Management,18.0,202200.0
24.0,Female,Bachelor's,Junior Financial Analyst,18.0,172800.0
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0
49.0,Female,Master's,Director of Operations,21.0,180000.0
51.0,Male,PhD,Junior Marketing Specialist,22.0,301600.0
45.0,Male,PhD,Director of Finance,19.0,256700.0
45.0,Male,PhD,Product Manager,18.0,269400.0
45.0,Male,PhD,Project Manager,18.0,258500.0
40.0,Female,Master's,Junior HR Generalist,18.0,232400.0
36.0,Female,Master's,Senior Business Analyst,18.0,216100.0
32.0,Female,Master's,Senior Marketing Analyst,18.0,211200.0
35.0,Female,Master's,Junior Developer,18.0,222200.0
44.0,Male,Master's,Director of Operations,18.0,250300.0
38.0,Female,Master's,Senior Product Manager,18.0,230900.0
20.0,Male,Bachelor's,Senior Operations Analyst,18.0,154800.0
53.0,Male,PhD,Senior Marketing Analyst,22.0,306400.0
36.0,Male,Master's,Director of Operations,18.0,217200.0
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0
46.0,Male,PhD,Junior Financial Analyst,18.0,264200.0
18.0,Male,Bachelor's,Senior Financial Analyst,18.0,145000.0
30.0,Female,Bachelor's,Junior Software Developer,18.0,195800.0
27.0,Male,Bachelor's,Business Development Manager,18.0,182300.0
44.0,Male,Master's,Senior IT Project Manager,18.0,250300.0
18.0,Male,Bachelor's,Project Manager,18.0,145600.0
18.0,Female,Bachelor's,Senior Scientist,18.0,141200.0
41.0,Female,Master's,Senior Software Engineer,18.0,239300.0
18.0,Female,Bachelor's,Senior Project Coordinator,18.0,144000.0
41.0,Female,Master's,Junior Marketing Coordinator,18.0,250200.0
48.0,Female,PhD,Product Manager,20.0,279600.0
30.0,Male,Bachelor's,Senior Data Engineer,18.0,198100.0
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0
38.0,Female,Master's,Director of Product Management,18.0,226500.0
24.0,Male,Bachelor's,Director of Marketing,18.0,167800.0
